, Nom gare ,route,Long,Latt
0,ROQUEMAURE,A0009,4.736837867608187,44.02238772199597
1,REMOULINS,A0009,4.6003661338720105,43.934794742239575
2,NIMES EST,A0009,4.424469026424623,43.85482647849874
3,NeMES OUEST,A0009,4.347115709191343,43.8106265923184
4,MONTPELLIER,A0009,4.181396633079787,43.72672228211327
5,GALLARGUES FERMe,A0009,4.179407218362849,43.7262399738049
6,GALLARGUES OUVERT,A0009,4.179407218362849,43.7262399738049
7,LUNEL,A0009,4.119437188158184,43.70521135851812
8,MONTPELLIER,A0009,3.832152851175532,43.56321197997598
9,SETE                                    ,A0009,3.683459688948031,43.48122735717297
10,AGDE,A0009,3.4158808248192942,43.37686025015689
11,BEZIERS OUEST,A0009,3.2229492234270127,43.303664399696856
12,NARBONNE EST,A0009,3.034479741724844,43.17658759196942
13,NARBONNE SUD,A0009,2.9938759616687687,43.16306781794761
14,SIGEAN,A0009,2.952680247507517,43.0332474463411
15,LEUCATE,A0009,2.9698643577185457,42.939079715493854
16,PERPIGNAN NORD                          ,A0009,2.895039492321414,42.78280442962278
17,PERPIGNAN SUD,A0009,2.8613664204239813,42.6641690342507
18,LE PERTHUS-LE BOULOU,A0009,2.8213287503769697,42.52788008574575
19,BOULOU (FERMe),A0009,2.8198963845755936,42.525251300451046
20,LE BOULOU (OUVERT),A0009,2.8198963845755936,42.525251300451046
21,TOULOUSE SUD-EST (SORTIE ),A0061,1.5000987998641888,43.54589357000138
22,TOULOUSE SUD-OUEST (SORTIE),A0061,1.5000987998641888,43.54589357000138
23,VILLEFRANCHE DE LAURAGAIS,A0061,1.6933276863029993,43.39605815569464
24,CASTELNAUDARY,A0061,1.9450172595926862,43.28841170379598
25,BRAM,A0061,2.09738726301439,43.23639382092865
26,CARCASSONNE OUEST,A0061,2.3034122460909554,43.19487648956189
27,CARCASSONNE EST,A0061,2.419899809802155,43.19460642505632
28,LEZIGNAN,A0061,2.741912270324747,43.16889563758959
29,TOULOUSE SUD-EST (ENTREE),A0061,1.5004295610995162,43.54581508007615
30,TOULOUSE SUD-OUEST (ENTREE),A0061,1.5004295610995162,43.54581508007615
31,ST SELVE,A0062,-0.4543137593094413,44.659074476564356
32,PODENSAC,A0062,-0.3696827495941485,44.60452398310005
33,LANGON                                  ,A0062,-0.26574027127245803,44.54294614916818
34,LA REOLE,A0062,-0.045966532708343374,44.50739917739347
35,MARMANDE,A0062,0.1352080566685771,44.43043528463563
36,AIGUILLON,A0062,0.268849122038077,44.28144363349714
37,AGEN,A0062,0.6038671310961499,44.16230586617913
38,VALENCE D'AGEN,A0062,0.8627326769010358,44.062086050282524
39,CASTELSARRASIN,A0062,1.0964587866010915,44.05295084036768
40,MONTAUBAN,A0062,1.3096460464586652,43.92736917399012
41,EUROCENTRE,A0062,1.3852295103694752,43.76672533868904
42,SAINT JORY,A0062,1.4019821622699389,43.71629670670594
43,TOULOUSE NORD-EST (ENTREE),A0062,1.4263944634652732,43.65861207850045
44,TOULOUSE NORD-OUEST (ENTREE),A0062,1.4263944634652732,43.65861207850045
45,TOULOUSE NORD-EST (SORTIE),A0062,1.4272987321938644,43.65885699425674
46,TOULOUSE NORD-OUEST (SORTIE),A0062,1.4272987321938644,43.65885699425674
47,VIADUC DE MILLAU,A0075,3.0211179730573474,44.09026295778781
48,BEZIERS CABRIALS (SORTIE),A0075,3.2885692228136043,43.343257219885515
49,BEZIERS CABRIALS (ENTReE),A0075,3.2851578291221855,43.34515956895337
